"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","9.40","11.15","11.27","8.40","370.73M","-16.15%"
"03/01/2025","11.21","13.04","13.14","11.02","430.86M","-11.87%"
"02/01/2025","12.72","12.52","14.28","12.39","248.13M","-3.12%"
"01/01/2025","13.13","12.96","13.71","12.22","182.67M","0.61%"
"12/01/2024","13.05","12.27","14.08","12.12","197.81M","-1.14%"
"11/01/2024","13.20","13.77","14.23","12.57","169.47M","-3.08%"
"10/01/2024","13.62","13.90","13.92","12.74","180.52M","-3.06%"
"09/01/2024","14.05","16.35","16.38","13.76","215.51M","-16.27%"
"08/01/2024","16.78","16.62","16.92","15.11","157.24M","0.54%"
"07/01/2024","16.69","20.16","21.05","16.57","173.73M","-15.92%"
"06/01/2024","19.85","22.16","22.22","19.59","111.32M","-10.87%"
"05/01/2024","22.27","22.61","23.37","21.13","148.34M","-0.13%"
"04/01/2024","22.30","28.30","28.49","22.06","123.69M","-21.20%"
"03/01/2024","28.30","26.32","29.51","26.29","101.64M","7.77%"
"02/01/2024","26.26","22.46","26.73","22.35","130.09M","19.58%"
"01/01/2024","21.96","23.11","23.24","20.88","104.17M","-5.83%"
"12/01/2023","23.32","21.76","23.66","21.69","94.32M","7.66%"
"11/01/2023","21.66","18.83","21.93","18.75","128.27M","15.95%"
"10/01/2023","18.68","19.06","20.42","17.82","175.69M","-2.35%"
"09/01/2023","19.13","18.39","20.00","17.98","142.56M","3.13%"
"08/01/2023","18.55","20.05","20.19","17.57","144.31M","-9.73%"
"07/01/2023","20.55","17.78","20.71","17.19","89.72M","17.16%"
"06/01/2023","17.54","15.31","17.61","15.28","80.20M","14.64%"
"05/01/2023","15.30","16.66","16.89","15.07","96.75M","-8.00%"
"04/01/2023","16.63","18.24","18.97","16.04","103.92M","-8.58%"
"03/01/2023","18.19","18.27","18.86","16.50","124.38M","3.82%"
"02/01/2023","17.52","15.79","18.13","15.78","116.14M","11.45%"
"01/01/2023","15.72","14.66","16.08","14.48","97.98M","10.70%"
"12/01/2022","14.20","15.73","15.87","13.71","108.84M","-9.09%"
"11/01/2022","15.62","13.84","15.63","12.79","138.73M","15.53%"
"10/01/2022","13.52","12.08","13.78","11.57","143.61M","14.19%"
"09/01/2022","11.84","13.19","13.98","11.73","162.94M","-11.64%"
"08/01/2022","13.40","14.48","15.43","13.35","95.46M","-6.82%"
"07/01/2022","14.38","12.14","14.39","11.37","115.27M","16.34%"
"06/01/2022","12.36","15.45","15.47","12.12","112.57M","-18.15%"
"05/01/2022","15.10","13.27","15.17","13.06","135.02M","12.94%"
"04/01/2022","13.37","16.45","16.51","13.06","89.08M","-17.82%"
"03/01/2022","16.27","17.70","17.75","13.76","150.84M","-11.00%"
"02/01/2022","18.28","19.48","19.96","17.60","77.42M","-5.24%"
"01/01/2022","19.29","19.43","21.92","18.46","101.26M","2.83%"
"12/01/2021","18.76","17.98","19.17","17.66","54.21M","9.52%"
"11/01/2021","17.13","20.06","20.76","16.94","43.61M","-14.09%"
"10/01/2021","19.94","19.05","20.56","18.33","57.15M","4.40%"
"09/01/2021","19.10","19.88","20.80","18.62","57.13M","-4.60%"
"08/01/2021","20.02","19.45","21.99","19.26","50.14M","4.43%"
"07/01/2021","19.17","19.84","20.19","17.55","60.94M","-2.74%"
"06/01/2021","19.71","20.16","21.39","19.41","66.16M","0.72%"
"05/01/2021","19.57","16.94","19.72","16.53","59.81M","18.11%"
"04/01/2021","16.57","17.42","18.03","16.51","48.93M","-4.86%"
"03/01/2021","17.42","15.32","18.04","14.81","86.15M","15.24%"
"02/01/2021","15.11","14.11","15.44","14.01","45.88M","7.55%"
"01/01/2021","14.05","14.94","15.88","13.73","71.70M","-3.68%"
"12/01/2020","14.59","12.77","15.73","12.72","55.58M","16.71%"
"11/01/2020","12.50","10.15","12.82","10.07","50.20M","26.12%"
"10/01/2020","9.91","9.86","10.86","9.61","47.87M","0.57%"
"09/01/2020","9.86","8.73","10.61","8.66","57.23M","10.79%"
"08/01/2020","8.90","8.48","9.57","8.43","45.93M","8.67%"
"07/01/2020","8.19","8.01","8.82","7.84","62.35M","-0.88%"
"06/01/2020","8.26","7.25","8.77","7.06","86.96M","15.84%"
"05/01/2020","7.13","6.80","7.38","6.06","57.13M","2.67%"
