,2024-12-31,2023-12-31,2022-12-31
Net Profit Loss,5520000000.0,18625000000.0,16779000000.0
Depreciation And Amortization,7226000000.0,7549000000.0,6797000000.0
Gains Losses On Disposals,-32000000.0,-195000000.0,-192000000.0
Change In Deferred Taxes,-2921000000.0,701000000.0,-711000000.0
Other Non Cash Items,1927000000.0,720000000.0,391000000.0
Change In Provisions And Employee Benefits Liabilities,1779000000.0,2460000000.0,1906000000.0
Result Of Equity Method Investments Net Of Dividends Received,381000000.0,-156000000.0,-47000000.0
Change In Carrying Amount Of Leased Vehicles,-3885000000.0,-1747000000.0,-483000000.0
Changes In Working Capital,-5987000000.0,-5472000000.0,-4481000000.0
Cash Flow From Operating Activities,4008000000.0,22485000000.0,19959000000.0
Proceeds From Disposal Of Shares And Investments,261000000.0,1457000000.0,235000000.0
Acquisitions Of Subsidiaries Equity Method And Other Investments,-1652000000.0,-3885000000.0,-666000000.0
Proceeds From Disposals Of PPE And Intangible Assets,365000000.0,533000000.0,545000000.0
Investments In PPE And Intangible Assets,-11060000000.0,-10193000000.0,-8615000000.0
Change In Amounts Payable On PPE And Intangible Assets,223000000.0,1068000000.0,-399000000.0
Net Change In Receivables From Financing Activities,-4151000000.0,-3834000000.0,-1413000000.0
Other Investing Changes,32000000.0,-193000000.0,-218000000.0
Cash Flow From Investing Activities,-15982000000.0,-15047000000.0,-10531000000.0
Distributions Paid To Stellantis Shareholders,-4651000000.0,-4208000000.0,-3353000000.0
Distributions Paid To Non Controlling Shareholders,-10000000.0,0.0,-1000000.0
Proceeds From Issuance Of Shares,104000000.0,92000000.0,40000000.0
Purchases Sales Of Treasury Shares,-3000000000.0,-2434000000.0,-923000000.0
Changes In Short Term Debt And Other Financial Assets Liabilities,2557000000.0,328000000.0,-400000000.0
Changes In Long Term Debt,4644000000.0,-214000000.0,-6480000000.0
Change In Securities,2422000000.0,-2754000000.0,-2069000000.0
Other Financing Changes,-5000000.0,-10000000.0,19000000.0
Cash Flow From Financing Activities,2061000000.0,-9200000000.0,-13167000000.0
Effect Of Changes In Exchange Rates,410000000.0,-836000000.0,608000000.0
Increase Decrease In Cash And Cash Equivalents Included In Asset Held For Sale,-66000000.0,-166000000.0,-65000000.0
Net Change In Cash And Cash Equivalents,-9569000000.0,-2764000000.0,-3196000000.0
Net Cash And Cash Equivalents At Beginning Of Period,43669000000.0,46433000000.0,49629000000.0
Net Cash And Cash Equivalents At End Of Period,34100000000.0,43669000000.0,46433000000.0
