,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-475236000.0,-406445000.0,-240940000.0,-111510000.0,
Tax Rate For Calcs,0.258,0.169,0.14,0.126,
Normalized EBITDA,14623000000.0,33702000000.0,29211000000.0,22655000000.0,
Total Unusual Items,-1842000000.0,-2405000000.0,-1721000000.0,-885000000.0,
Total Unusual Items Excluding Goodwill,-1842000000.0,-2405000000.0,-1721000000.0,-885000000.0,
Net Income From Continuing Operation Net Minority Interest,5473000000.0,18596000000.0,16799000000.0,13210000000.0,
Reconciled Depreciation,7226000000.0,7549000000.0,6797000000.0,5871000000.0,
Reconciled Cost Of Revenue,136360000000.0,151400000000.0,144327000000.0,119943000000.0,
EBITDA,12781000000.0,31297000000.0,27490000000.0,21770000000.0,
EBIT,5555000000.0,23748000000.0,20693000000.0,15899000000.0,
Net Interest Income,472000000.0,1348000000.0,-119000000.0,-582000000.0,
Interest Expense,1523000000.0,1330000000.0,1185000000.0,770000000.0,
Interest Income,1995000000.0,2678000000.0,1066000000.0,188000000.0,
Normalized Income,6839764000.0,20594555000.0,18279060000.0,13983490000.0,
Net Income From Continuing And Discontinued Operation,5473000000.0,18596000000.0,16799000000.0,14200000000.0,
Total Expenses,151443000000.0,166560000000.0,158508000000.0,133560000000.0,
Total Operating Income As Reported,3687000000.0,22376000000.0,20276000000.0,15863000000.0,
Diluted Average Shares,2975820000.0,3132458000.0,3163959000.0,3151432000.0,
Basic Average Shares,2949652000.0,3107725000.0,3140089000.0,3059284000.0,
Diluted EPS,1.84,5.94,5.31,4.51,
Basic EPS,1.871407,5.98,5.35,4.64,
Diluted NI Availto Com Stockholders,5473000000.0,18596000000.0,16799000000.0,14200000000.0,
Net Income Common Stockholders,5473000000.0,18596000000.0,16799000000.0,14200000000.0,
Net Income,5473000000.0,18596000000.0,16799000000.0,14200000000.0,
Minority Interests,-47000000.0,-29000000.0,20000000.0,-8000000.0,
Net Income Including Noncontrolling Interests,5520000000.0,18625000000.0,16779000000.0,14208000000.0,
Net Income Discontinuous Operations,,0.0,0.0,990000000.0,-315000000.0
Net Income Continuous Operations,5520000000.0,18625000000.0,16779000000.0,13218000000.0,
Earnings From Equity Interest Net Of Tax,,,264000000.0,737000000.0,-74000000.0
Tax Provision,-1488000000.0,3793000000.0,2729000000.0,1911000000.0,
Pretax Income,4032000000.0,22418000000.0,19508000000.0,15129000000.0,
Other Income Expense,-1875000000.0,-1914000000.0,-1457000000.0,-148000000.0,
Special Income Charges,-1529000000.0,-1247000000.0,-1158000000.0,-708000000.0,
Write Off,-88000000.0,128000000.0,14000000.0,10000000.0,
Restructuring And Mergern Acquisition,1617000000.0,1119000000.0,1144000000.0,698000000.0,
Earnings From Equity Interest,-33000000.0,491000000.0,264000000.0,737000000.0,
Gain On Sale Of Security,-313000000.0,-1158000000.0,-563000000.0,-177000000.0,
Net Non Operating Interest Income Expense,472000000.0,1348000000.0,-119000000.0,-582000000.0,
Total Other Finance Cost,,,,286000000.0,66000000.0
Interest Expense Non Operating,1523000000.0,1330000000.0,1185000000.0,770000000.0,
Interest Income Non Operating,1995000000.0,2678000000.0,1066000000.0,188000000.0,
Operating Income,5435000000.0,22984000000.0,21084000000.0,15859000000.0,
Operating Expense,15083000000.0,15160000000.0,14181000000.0,13617000000.0,
Research And Development,5784000000.0,5619000000.0,5200000000.0,4487000000.0,
Selling General And Administration,9299000000.0,9541000000.0,8981000000.0,9130000000.0,
Gross Profit,20518000000.0,38144000000.0,35265000000.0,29476000000.0,
Cost Of Revenue,136360000000.0,151400000000.0,144327000000.0,119943000000.0,
Total Revenue,156878000000.0,189544000000.0,179592000000.0,149419000000.0,
Operating Revenue,156878000000.0,189544000000.0,179592000000.0,149419000000.0,
