,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Ordinary Shares Number,8024000000.0,8054000001.0,8100000000.0,8283000000.0,
Share Issued,8024000000.0,8054000001.0,8100000000.0,8283000000.0,
Net Debt,30030000000.0,30590000000.0,30587000000.0,23317000000.0,
Total Debt,60114000000.0,61321000000.0,58923000000.0,57323000000.0,
Tangible Book Value,62221000000.0,55748000000.0,48519000000.0,54239000000.0,
Invested Capital,130080000000.0,124318000000.0,115905000000.0,121330000000.0,
Working Capital,-17126000000.0,-15538000000.0,-16543000000.0,-6309000000.0,
Net Tangible Assets,62221000000.0,55748000000.0,48519000000.0,54239000000.0,
Capital Lease Obligations,21047000000.0,20864000000.0,19711000000.0,19246000000.0,
Common Stock Equity,91013000000.0,83861000000.0,76693000000.0,83253000000.0,
Total Capitalization,124414000000.0,119993000000.0,111342000000.0,118117000000.0,
Total Equity Gross Minority Interest,97692000000.0,90571000000.0,83991000000.0,91891000000.0,
Minority Interest,6679000000.0,6710000000.0,7298000000.0,8638000000.0,
Stockholders Equity,91013000000.0,83861000000.0,76693000000.0,83253000000.0,
Gains Losses Not Affecting Retained Earnings,-13605000000.0,-11302000000.0,-11680000000.0,-8766000000.0,
Other Equity Adjustments,-944000000.0,-895000000.0,-857000000.0,-654000000.0,
Foreign Currency Translation Adjustments,-12661000000.0,-10407000000.0,-10816000000.0,-8100000000.0,
Minimum Pension Liabilities,,-18000000.0,-7000000.0,-12000000.0,-1986000000.0
Unrealized Gain Loss,,,,,0.0
Retained Earnings,98313000000.0,89814000000.0,83135000000.0,86904000000.0,
Additional Paid In Capital,5503000000.0,4544000000.0,4430000000.0,4839000000.0,
Capital Stock,802000000.0,805000000.0,808000000.0,276000000.0,
Common Stock,802000000.0,805000000.0,808000000.0,276000000.0,
Total Liabilities Net Minority Interest,163131000000.0,161828000000.0,159206000000.0,152969000000.0,
Total Non Current Liabilities Net Minority Interest,66547000000.0,69413000000.0,67008000000.0,65590000000.0,
Other Non Current Liabilities,14398000000.0,14629000000.0,14688000000.0,13474000000.0,
Non Current Deferred Liabilities,,,14688000000.0,13474000000.0,14370000000.0
Non Current Deferred Taxes Liabilities,,,14688000000.0,13474000000.0,14370000000.0
Long Term Debt And Capital Lease Obligation,52149000000.0,54784000000.0,52320000000.0,52116000000.0,
Long Term Capital Lease Obligation,18748000000.0,18652000000.0,17671000000.0,17252000000.0,
Long Term Debt,33401000000.0,36132000000.0,34649000000.0,34864000000.0,
Current Liabilities,96584000000.0,92415000000.0,92198000000.0,87379000000.0,
Other Current Liabilities,,,,21000000.0,12734000000.0
Current Deferred Liabilities,2755000000.0,2664000000.0,2488000000.0,2559000000.0,
Current Deferred Revenue,2755000000.0,2664000000.0,2488000000.0,2559000000.0,
Current Debt And Capital Lease Obligation,7965000000.0,6537000000.0,6603000000.0,5207000000.0,
Current Capital Lease Obligation,2299000000.0,2212000000.0,2040000000.0,1994000000.0,
Current Debt,5666000000.0,4325000000.0,4563000000.0,3213000000.0,
Other Current Borrowings,5666000000.0,4325000000.0,4563000000.0,3213000000.0,
Pensionand Other Post Retirement Benefit Plans Current,,,,,4698000000.0
Payables And Accrued Expenses,85864000000.0,83214000000.0,83107000000.0,79613000000.0,
Current Accrued Expenses,23087000000.0,22636000000.0,25213000000.0,20254000000.0,
Payables,62777000000.0,60578000000.0,57894000000.0,59359000000.0,
Total Tax Payable,4111000000.0,3766000000.0,4152000000.0,4098000000.0,
Income Tax Payable,608000000.0,307000000.0,727000000.0,851000000.0,
Accounts Payable,58666000000.0,56812000000.0,53742000000.0,55261000000.0,
Total Assets,260823000000.0,252399000000.0,243197000000.0,244860000000.0,
Total Non Current Assets,181365000000.0,175522000000.0,167542000000.0,163790000000.0,
Other Non Current Assets,12869000000.0,17071000000.0,20134000000.0,22152000000.0,
Goodwill And Other Intangible Assets,28792000000.0,28113000000.0,28174000000.0,29014000000.0,
Goodwill,28792000000.0,28113000000.0,28174000000.0,29014000000.0,
Net PPE,139704000000.0,130338000000.0,119234000000.0,112624000000.0,
Accumulated Depreciation,-111624000000.0,-109049000000.0,-101610000000.0,-94809000000.0,
Gross PPE,251328000000.0,239387000000.0,220844000000.0,207433000000.0,
Construction In Progress,15403000000.0,13390000000.0,10802000000.0,7199000000.0,
Other Properties,19711000000.0,19528000000.0,18474000000.0,18109000000.0,
Machinery Furniture Equipment,78899000000.0,75140000000.0,67697000000.0,62545000000.0,
Buildings And Improvements,117973000000.0,111767000000.0,104554000000.0,100376000000.0,
Land And Improvements,19342000000.0,19562000000.0,19317000000.0,19204000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,79458000000.0,76877000000.0,75655000000.0,81070000000.0,
Other Current Assets,4011000000.0,3322000000.0,2521000000.0,1519000000.0,
Prepaid Assets,,,,1519000000.0,20861000000.0
Inventory,56435000000.0,54892000000.0,56576000000.0,56511000000.0,
Receivables,9975000000.0,8796000000.0,7933000000.0,8280000000.0,
Accounts Receivable,9975000000.0,8796000000.0,7933000000.0,8280000000.0,
Cash Cash Equivalents And Short Term Investments,9037000000.0,9867000000.0,8625000000.0,14760000000.0,
Cash And Cash Equivalents,9037000000.0,9867000000.0,8625000000.0,14760000000.0,
