,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-612140000.0,
Tax Rate For Calcs,0.234,0.255,0.336,0.254,
Normalized EBITDA,42010000000.0,36384000000.0,30089000000.0,33758000000.0,
Total Unusual Items,,0.0,0.0,-2410000000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,-2410000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,19436000000.0,15511000000.0,11680000000.0,13673000000.0,
Reconciled Depreciation,12973000000.0,11853000000.0,10945000000.0,10658000000.0,
Reconciled Cost Of Revenue,511753000000.0,490142000000.0,463721000000.0,429000000000.0,
EBITDA,42010000000.0,36384000000.0,30089000000.0,31348000000.0,
EBIT,29037000000.0,24531000000.0,19144000000.0,20690000000.0,
Net Interest Income,-2245000000.0,-2137000000.0,-1874000000.0,-1836000000.0,
Interest Expense,2728000000.0,2683000000.0,2128000000.0,1994000000.0,
Interest Income,483000000.0,546000000.0,254000000.0,158000000.0,
Normalized Income,19436000000.0,15511000000.0,11680000000.0,15470860000.0,
Net Income From Continuing And Discontinued Operation,19436000000.0,15511000000.0,11680000000.0,13673000000.0,
Total Expenses,651637000000.0,621113000000.0,590861000000.0,546812000000.0,
Total Operating Income As Reported,29348000000.0,27012000000.0,20428000000.0,25942000000.0,
Diluted Average Shares,8081000000.0,8108000000.0,8202000000.0,8415000000.0,
Basic Average Shares,8041000000.0,8077000000.0,8172000000.0,8376000000.0,
Diluted EPS,2.41,1.91,1.423333,1.623333,
Basic EPS,2.42,1.92,1.43,1.633333,
Diluted NI Availto Com Stockholders,19436000000.0,15511000000.0,11680000000.0,13673000000.0,
Net Income Common Stockholders,19436000000.0,15511000000.0,11680000000.0,13673000000.0,
Net Income,19436000000.0,15511000000.0,11680000000.0,13673000000.0,
Minority Interests,-721000000.0,-759000000.0,388000000.0,-267000000.0,
Net Income Including Noncontrolling Interests,20157000000.0,16270000000.0,11292000000.0,13940000000.0,
Net Income Continuous Operations,20157000000.0,16270000000.0,11292000000.0,13940000000.0,
Tax Provision,6152000000.0,5578000000.0,5724000000.0,4756000000.0,
Pretax Income,26309000000.0,21848000000.0,17016000000.0,18696000000.0,
Other Income Expense,-794000000.0,-3027000000.0,-1538000000.0,-5410000000.0,
Other Non Operating Income Expenses,-794000000.0,-3027000000.0,-1538000000.0,-3000000000.0,
Special Income Charges,,0.0,0.0,-2410000000.0,0.0
Other Special Charges,,,,2410000000.0,
Net Non Operating Interest Income Expense,-2245000000.0,-2137000000.0,-1874000000.0,-1836000000.0,
Interest Expense Non Operating,2728000000.0,2683000000.0,2128000000.0,1994000000.0,
Interest Income Non Operating,483000000.0,546000000.0,254000000.0,158000000.0,
Operating Income,29348000000.0,27012000000.0,20428000000.0,25942000000.0,
Operating Expense,139884000000.0,130971000000.0,127140000000.0,117812000000.0,
Selling General And Administration,139884000000.0,130971000000.0,127140000000.0,117812000000.0,
Gross Profit,169232000000.0,157983000000.0,147568000000.0,143754000000.0,
Cost Of Revenue,511753000000.0,490142000000.0,463721000000.0,429000000000.0,
Total Revenue,680985000000.0,648125000000.0,611289000000.0,572754000000.0,
Operating Revenue,680985000000.0,648125000000.0,611289000000.0,572754000000.0,
