,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Total Assets,207607000000.0,202128000000.0,186156000000.0,171766000000.0
Market Cap,52650617448.06,57543142128.479996,58207709537.82,56951007147.9
Average Assets,204867500000.0,194142000000.0,178961000000.0,171766000000.0
Current Assets,81578000000.0,91520000000.0,84776000000.0,74795000000.0
Share Issued,2896073567.0,3165189336.0,3201744199.0,3132618655.0
Current Liabilities,75186000000.0,73940000000.0,66825000000.0,64857000000.0
Total Liabilities,125492000000.0,120008000000.0,113774000000.0,115459000000.0
Current Ratio,1.0850158274146782,1.2377603462266702,1.268627010849233,1.1532294123995868
Total Debt,37227000000.0,29463000000.0,27153000000.0,33582000000.0
Total Shareholders' Equity,82115000000.0,82120000000.0,72382000000.0,56307000000.0
Debt to Equity,0.4533520063325824,0.3587798343886995,0.37513470199773424,0.5964089722414619
Net Income,5473000000.0,18596000000.0,16799000000.0,13210000000.0
Consolidated Net Income,5520000000.0,18625000000.0,16779000000.0,13218000000.0
Diluted Average Shares,2975820000.0,3132458000.0,3163959000.0,3151432000.0
Basic Average Shares,2949652000.0,3107725000.0,3140089000.0,3059284000.0
Return on Assets,0.026944244450681536,0.09593493422340349,0.09375785785729852,0.07695352980217272
Diluted EPS,1.84,5.94,5.31,4.51
Basic EPS,1.871407,5.98,5.35,4.64
Total Revenue,156878000000.0,189544000000.0,179592000000.0,149419000000.0
Return on Equity,0.06665042927601535,0.22644909887968825,0.23208808819872345,0.23460670964533717
