"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2025","84.76","97.98","99.49","83.87","440.75M","-14.05%"
"02/01/2025","98.61","96.77","105.30","92.12","393.52M","0.46%"
"01/01/2025","98.16","89.98","99.00","89.52","301.85M","8.64%"
"12/01/2024","90.35","92.82","96.18","88.91","382.13M","-2.32%"
"11/01/2024","92.50","82.53","92.64","81.54","340.43M","12.87%"
"10/01/2024","81.95","80.68","83.34","78.98","274.96M","1.49%"
"09/01/2024","80.75","77.33","81.60","76.30","358.17M","4.56%"
"08/01/2024","77.23","68.91","77.47","66.67","395.30M","12.51%"
"07/01/2024","68.64","67.89","71.33","67.25","288.08M","1.37%"
"06/01/2024","67.71","65.51","69.04","65.16","288.55M","2.97%"
"05/01/2024","65.76","59.31","65.90","58.58","401.58M","10.80%"
"04/01/2024","59.35","60.31","60.89","58.56","304.74M","-1.36%"
"03/01/2024","60.17","58.80","61.65","58.20","339.29M","2.66%"
"02/01/2024","58.61","55.23","60.45","55.06","523.25M","6.40%"
"01/01/2024","55.08","52.42","55.93","51.87","385.32M","4.82%"
"12/01/2023","52.55","51.79","52.78","49.85","543.92M","1.26%"
"11/01/2023","51.90","54.74","56.65","51.38","536.59M","-4.72%"
"10/01/2023","54.47","53.16","54.78","50.55","344.01M","2.18%"
"09/01/2023","53.31","54.29","55.28","53.06","331.24M","-1.65%"
"08/01/2023","54.20","53.32","54.33","51.67","391.68M","1.72%"
"07/01/2023","53.29","52.27","53.65","51.15","272.20M","1.71%"
"06/01/2023","52.39","48.74","52.74","48.65","391.86M","7.02%"
"05/01/2023","48.96","50.35","51.45","48.34","406.48M","-2.72%"
"04/01/2023","50.32","49.24","51.25","49.01","301.90M","2.39%"
"03/01/2023","49.15","47.02","49.48","45.36","524.66M","3.74%"
"02/01/2023","47.38","47.89","49.45","46.23","368.56M","-1.21%"
"01/01/2023","47.96","47.52","49.29","46.06","324.06M","1.47%"
"12/01/2022","47.26","50.68","51.20","46.94","382.14M","-6.97%"
"11/01/2022","50.81","47.66","51.55","46.09","455.00M","7.09%"
"10/01/2022","47.44","43.41","47.69","42.69","350.70M","9.74%"
"09/01/2022","43.23","44.18","46.08","42.76","416.34M","-2.15%"
"08/01/2022","44.18","43.69","47.57","41.71","623.69M","0.38%"
"07/01/2022","44.02","40.65","44.46","40.02","472.94M","8.61%"
"06/01/2022","40.53","42.83","42.97","39.30","512.79M","-5.48%"
"05/01/2022","42.88","51.65","51.66","39.09","816.44M","-15.92%"
"04/01/2022","51.00","49.89","53.59","49.61","427.23M","2.73%"
"03/01/2022","49.64","45.29","50.18","45.01","557.66M","10.18%"
"02/01/2022","45.05","46.40","47.33","44.00","487.79M","-3.33%"
"01/01/2022","46.60","48.00","48.88","44.65","497.27M","-3.37%"
"12/01/2021","48.23","46.84","48.84","45.08","716.46M","2.89%"
"11/01/2021","46.88","49.99","50.67","46.67","534.33M","-5.88%"
"10/01/2021","49.81","46.42","50.18","44.90","414.01M","7.20%"
"09/01/2021","46.46","49.19","49.88","46.42","453.80M","-5.89%"
"08/01/2021","49.37","47.61","50.86","47.22","544.34M","3.89%"
"07/01/2021","47.52","46.80","47.95","46.07","395.66M","1.08%"
"06/01/2021","47.01","47.40","47.60","44.80","507.32M","-0.71%"
"05/01/2021","47.34","46.56","48.19","45.25","524.34M","1.52%"
"04/01/2021","46.64","45.31","47.26","45.11","459.38M","3.00%"
"03/01/2021","45.28","43.86","45.86","42.09","739.67M","4.55%"
"02/01/2021","43.31","46.97","49.17","43.29","555.46M","-7.52%"
"01/01/2021","46.83","48.10","49.98","46.78","450.60M","-2.54%"
"12/01/2020","48.05","51.20","51.22","47.43","511.20M","-5.65%"
"11/01/2020","50.93","46.86","51.13","46.34","413.93M","10.12%"
"10/01/2020","46.25","46.93","48.87","45.79","387.04M","-0.83%"
"09/01/2020","46.64","47.07","50.44","44.92","806.34M","0.76%"
"08/01/2020","46.28","43.30","47.02","42.76","690.08M","7.30%"
"07/01/2020","43.13","39.82","44.71","39.41","592.37M","8.03%"
"06/01/2020","39.93","41.15","41.47","39.00","557.54M","-3.45%"
"05/01/2020","41.35","40.49","44.00","40.26","560.87M","2.06%"
"04/01/2020","40.52","37.38","44.46","37.27","621.50M","6.98%"
